date,draftstatement,draftlabel,,,,,,,,,,,,,,,,,,,,,,,
9/21/10,"Information received since the Federal Open Market Committee met in August indicates that the economic recovery is proceeding. Household income and spending are increasing gradually. Manufacturing activity and business spending on equipment and software have risen. Bank lending has continued to contract, but at a reduced rate in recent months. Measures of underlying inflation have stayed subdued in recent quarters, and longer-term inflation expectations have remained stable. Although the pace of economic recovery is likely to be more modest in the near term, the Committee continues to anticipate a gradual return to higher levels of resource utilization in a context of price stability. The Committee will maintain the target range for the federal funds rate at 0 to 1/4 percent and anticipates that economic conditions, including low rates of resource utilization, subdued inflation trends, and stable inflation expectations, are likely to warrant low levels of the federal funds rate for some time. For the time being, the Committee also will maintain its existing policy of reinvesting principal payments to keep constant the Federal Reserve's holdings of securities at their current level. The Committee will continue to monitor the economic outlook and financial developments and will employ its policy tools as necessary to promote economic recovery and price stability.",C,,,,,,,,,,,,,,,,,,,,,,,
11/3/10,"Information received since the Federal Open Market Committee met in September confirms that the pace of recovery in output and employment continues to be slow. Household spending is increasing gradually, but remains constrained by high unemployment, modest income growth, lower housing wealth, and tight credit. Business spending on equipment and software is rising, though less rapidly than earlier in the year, while investment in nonresidential structures continues to be weak. Employers remain reluctant to add to payrolls. Housing starts continue to be depressed. Longer-term inflation expectations have remained stable, but measures of underlying inflation have trended lower in recent quarters. Consistent with its statutory mandate, the Committee seeks to foster maximum employment and price stability. Currently, the unemployment rate is elevated, and measures of underlying inflation are somewhat low , relative to levels that the Committee judges to be with its dual mandate. Although the Committee anticipates a gradual return to higher levels of resource utilization in a context of price stability, it judges that progress toward its objectives has been unacceptably slow. To promote a stronger pace of economic recovery and to return inflation, over time, to levels consistent with its mandate, the Committee decided today to expand its holdings of securities. The Committee will maintain its existing policy of reinvesting principal payments from its securities holdings and intends to purchase an additional $1 trillion of longer-term Treasury securities by the end of 2011, an average pace of approximately $70 billion of purchases per month. The Committee expects to maintain the target range for the federal funds rate at 0 to 1/4 percent at least until mid-2012, so long as: The unemployment rate remains elevated; the Committee continues to anticipate that such a policy stance will not lead to rates of inflation in the intermediate term that exceed the levels that it deems consistent with its mandate; and longer-term inflation expectations remain well anchored. The Committee will continue to monitor the economic outlook and financial developments and is prepared to provide additional accommodation as needed to strengthen the economic recovery and move inflation, over time, to levels consistent with its mandate.",A,,,,,,,,,,,,,,,,,,,,,,,
11/3/10,"Information received since the Federal Open Market Committee met in September confirms that the pace of recovery in output and employment continues to be slow. Household spending is increasing gradually, but remains constrained by high unemployment, modest income growth, lower housing wealth, and tight credit. Business spending on equipment and software is rising, though less rapidly than earlier in the year, while investment in nonresidential structures continues to be weak. Employers remain reluctant to add to payrolls. Housing starts continue to be depressed. Longer-term inflation expectations have remained stable, but measures of underlying inflation have trended lower in recent quarters. Consistent with its statutory mandate, the Committee seeks to foster maximum employment and price stability. Currently, the unemployment rate is elevated, and measures of underlying inflation are somewhat low relative to levels that the Committee judges to be consistent with its dual mandate. Although the Committee anticipates a gradual return to higher levels of resource utilization in a context of price stability, it judges that progress toward its objectives has been unacceptably slow. To promote a stronger pace of economic recovery and to return inflation, over time, to levels consistent with its mandate, the Committee decided today to expand its holdings of securities. The Committee will maintain its existing policy of reinvesting principal payments from its securities holdings and intends to purchase an additional $600 billion of longer-term Treasury securities by the end of the second quarter of 2011, an average pace of $75 billion of purchases per month. The Committee will maintain the target range for the federal funds rate at 0 to 1/4 percent and continues to anticipate that economic conditions, including low rates of resource utilization, subdued inflation trends, and stable inflation expectations, are likely to warrant exceptionally low levels for the federal funds rate for an extended period. The Committee will continue to monitor the economic outlook and financial developments and will employ its policy tools as necessary to support the economic recovery and to return inflation, over time, to levels consistent with its mandate. In particular, the Committee will regularly review the pace of its securities purchases and the overall size of the asset-purchase program in light of incoming information and will adjust the program as needed to best foster maximum employment and price stability.",B,,,,,,,,,,,,,,,,,,,,,,,
11/3/10,"Information received since the Federal Open Market Committee met in September confirms that the pace of recovery in output and employment continues to be slow. Household spending is increasing gradually, but remains constrained by high unemployment, modest income growth, lower housing wealth, and tight credit. Business spending on equipment and software is rising, though less rapidly than earlier in the year, while investment in nonresidential structures continues to be weak. Employers remain reluctant to add to payrolls. Housing starts are at a depressed level. Bank lending has continued to contract, but at a reduced rate in recent months. The Committee anticipates a gradual return to higher levels of resource utilization in a context of price stability, although the pace of economic recovery is likely to remain modest in the near term. Measures of underlying inflation are currently at levels somewhat below those the Committee judges most consistent, over the longer run, with its mandate to promote maximum employment and price stability. With substantial resource slack continuing to restrain cost pressures and longer-term inflation expectations stable, inflation is likely to remain subdued for some time before rising to levels the Committee considers consistent with its mandate. The Committee will maintain the target range for the federal funds rate at 0 to 1/4 percent and continues to anticipate that economic conditions, including low rates of resource utilization, subdued inflation trends, and stable inflation expectations, are likely to warrant exceptionally low levels for the federal funds rate for an extended period. The Committee also will continue the existing policy of reinvesting principal payments from its securities holdings to maintain the size of its securities holdings at current levels. The Committee will continue to monitor the economic outlook and financial developments and is prepared to provide additional accommodation if needed to support the economic recovery and to return inflation, over time, to levels consistent with its mandate.",C,,,,,,,,,,,,,,,,,,,,,,,
11/3/10,"Information received since the Federal Open Market Committee met in September indicates that the economic recovery is proceeding. Household income and spending are increasing , and business spending on equipment and software is rising. The contraction in bank lending has slowed. The Committee anticipates a gradual return to higher levels of resource utilization in a context of price stability. The Committee decided to maintain the target range for the federal funds rate at 0 to 1/4 percent and anticipates that economic conditions are likely to warrant low levels for the federal funds rate for some time. For the time being, the Committee also will maintain its existing policy of reinvesting principal payments from its securities holdings. The Committee will continue to monitor the economic outlook and financial developments and anticipates that it will gradually begin to remove policy accommodation at the appropriate time to promote maximum employment and price stability.",D,,,,,,,,,,,,,,,,,,,,,,,
12/14/10,"Information received since the Federal Open Market Committee met in November confirms that the pace of recovery in output and employment continues to be slow. Household spending is increasing gradually, but remains constrained by high unemployment, modest income growth, lower housing wealth, and tight credit. Business spending on equipment and software is rising, though less rapidly than earlier in the year, while investment in nonresidential structures continues to be weak. Employers remain reluctant to add to payrolls. Housing starts continue to be depressed. Longer-term inflation expectations have remained stable, but measures of underlying inflation have continued to trend downward. Consistent with its statutory mandate, the Committee seeks to foster maximum employment and price stability. Currently, the unemployment rate is elevated, and measures of underlying inflation are low, relative to levels that the Committee judges to be consistent, over the longer run, with its dual mandate. Although the Committee anticipates a gradual return to higher levels of resource utilization in a context of price stability, progress toward its objectives remains disappointingly slow. To promote a stronger pace of economic recovery and to help ensure that inflation, over time, is at levels consistent with its mandate, the Committee decided today to continue expanding its holdings of securities. Moreover, in light of incoming information, the Committee now intends to increase its holdings of securities by a total of $800 billion-$200 billion more than announced last month-by purchasing longer-term Treasury securities at a pace of about $75 billion per month through the third quarter of 2011. In addition, the Committee will maintain its existing policy of reinvesting principal payments from its securities holdings. The Committee will regularly review the pace of its securities purchases and the overall size of the asset-purchase program and will adjust the program as needed to best foster maximum employment and price stability. The Committee will maintain the target range for the federal funds rate at 0 to 1/4 percent and currently anticipates that economic conditions, including low rates of resource utilization, subdued inflation trends, and stable inflation expectations, are likely to warrant exceptionally low levels for the federal funds rate at least through mid-2012. The Committee will continue to monitor the economic outlook and financial developments and will employ its policy tools as necessary to support the economic recovery and to help ensure that inflation, over time, is at levels consistent with its mandate.",A,,,,,,,,,,,,,,,,,,,,,,,
12/14/10,"Information received since the Federal Open Market Committee met in November confirms that the pace of recovery in output and employment continues to be slow. Household spending is increasing at a moderate pace, but remains constrained by high unemployment, modest income growth, lower housing wealth, and tight credit. Business spending on equipment and software is rising, though less rapidly than earlier in the year, while investment in nonresidential structures continues to be weak. Employers remain reluctant to add to payrolls. Housing starts continue to be depressed. Longer-term inflation expectations have remained stable, but measures of underlying inflation have continued to trend downward. Consistent with its statutory mandate, the Committee seeks to foster maximum employment and price stability. Currently, the unemployment rate is elevated, and measures of underlying inflation are somewhat low, relative to levels that the Committee judges to be consistent, over the longer run, with its dual mandate. Although the Committee anticipates a gradual return to higher levels of resource utilization in a context of price stability, progress toward its objectives has been disappointingly slow. To promote a stronger pace of economic recovery and to help ensure that inflation, over time, is at levels consistent with its mandate, the Committee decided today to continue the expansion of its securities holdings announced in November. The Committee will maintain its existing policy of reinvesting principal payments from its securities holdings. In addition, the Committee reaffirmed its intention to purchase $600 billion of longer-term Treasury securities by the end of the second quarter of 2011, a pace of about $75 billion per month. The Committee will regularly review the pace of its securities purchases and the overall size of the asset-purchase program in light of incoming information and will adjust the program as needed to best foster maximum employment and price stability. The Committee will maintain the target range for the federal funds rate at 0 to 1/4 percent and continues to anticipate that economic conditions, including low rates of resource utilization, subdued inflation trends, and stable inflation expectations, are likely to warrant exceptionally low levels for the federal funds rate for an extended period. The Committee will continue to monitor the economic outlook and financial developments and will employ its policy tools as necessary to support the economic recovery and to help ensure that inflation, over time, is at levels consistent with its mandate.",B,,,,,,,,,,,,,,,,,,,,,,,
12/14/10,"Information received since the Federal Open Market Committee met in November indicates that the recovery in output and employment is continuing. Spending by households and businesses appears to be increasing at a moderate pace. However, employers remain reluctant to add to payrolls and housing starts continue to be depressed. Longer-term inflation expectations have remained stable, but measures of underlying inflation have trended lower in recent quarters. Consistent with its statutory mandate, the Committee seeks to foster maximum employment and price stability. Currently, the unemployment rate is elevated, and measures of underlying inflation are somewhat low, relative to levels that the Committee judges to be consistent, over the longer run, with its dual mandate. Although the Committee anticipates a gradual return to higher levels of resource utilization in a context of price stability, progress toward its objectives has been slow. To promote a stronger pace of economic recovery and to help ensure that inflation, over time, is at levels consistent with its mandate, the Committee decided today to continue expanding its holdings of securities. However, in light of incoming information, the Committee now intends to increase its holdings of securities by a total of $400 billion-$200 billion less than announced last month-by purchasing longer-term Treasury securities at a pace of about $50 billion per month through the second quarter of 2011. In addition, the Committee will maintain its existing policy of reinvesting principal payments from its securities holdings. The Committee will regularly review the pace of its securities purchases and the overall size of the asset-purchase program and will adjust the program as needed to best foster maximum employment and price stability. The Committee will maintain the target range for the federal funds rate at 0 to 1/4 percent and continues to anticipate that economic conditions, including low rates of resource utilization, subdued inflation trends, and stable inflation expectations, are likely to warrant exceptionally low levels for the federal funds rate for an extended period. The Committee will continue to monitor the economic outlook and financial developments and will employ its policy tools as necessary to support the economic recovery and to help ensure that inflation, over time, is at levels consistent with its mandate.",C,,,,,,,,,,,,,,,,,,,,,,,
12/14/10,"Information received since the Federal Open Market Committee met in November indicates that the economic recovery is proceeding. Spending by households and businesses is increasing at a moderate pace. Although measures of underlying inflation have trended lower in recent quarters, longer-term inflation expectations have remained stable. The Committee anticipates a gradual return to higher levels of resource utilization in a context of price stability. Based on this assessment of current and prospective economic conditions, the Committee decided today to discontinue the asset-purchase program it announced in November. For the time being, the Committee will maintain its existing policy of reinvesting principal payments from its securities holdings. The Committee will maintain the target range for the federal funds rate at 0 to 1/4 percent and anticipates that economic conditions are likely to warrant low levels for the federal funds rate for some time. The Committee will continue to monitor the economic outlook and financial developments and will employ its policy tools as necessary to e promote maximum employment and price stability.",D,,,,,,,,,,,,,,,,,,,,,,,
1/26/11,"Information received since the Federal Open Market Committee met in December confirms that the economic recovery is continuing, though at a rate that has been insufficient to bring about a significant improvement in labor market conditions. Household spending is increasing at a moderate pace, but remains constrained by high unemployment, modest income growth, lower housing wealth, and tight credit. Business spending on equipment and software is rising, though less rapidly than in recent quarters, while investment in nonresidential structures continues to be weak. Employers remain reluctant to add to payrolls. The housing sector continues to be depressed. Longer-term inflation expectations have remained stable, but measures of underlying inflation have been trending downward. Consistent with its statutory mandate, the Committee seeks to foster maximum employment and price stability. Currently, the unemployment rate is elevated, and measures of underlying inflation are low, relative to levels that the Committee judges to be consistent, over the longer run, with its dual mandate. Although the Committee anticipates a gradual return to higher levels of resource utilization in a context of price stability, progress toward its objectives remains disappointingly slow and there are still significant downside risks to the economic outlook. To promote a stronger pace of economic recovery and to help ensure that inflation, over time, is at levels consistent with its mandate, the Committee decided today to continue expanding its holdings of securities. Moreover, in light of incoming information, the Committee now intends to increase its holdings of securities by a total of $800 billion-$200 billion more than announced in November-by purchasing longer-term Treasury securities at a pace of about $75 billion per month through the third quarter of 2011. In addition, the Committee will maintain its existing policy of reinvesting principal payments from its securities holdings. The Committee will regularly review the pace of its securities purchases and the overall size of the asset-purchase program and will adjust the program as needed to best foster maximum employment and price stability. The Committee will maintain the target range for the federal funds rate at 0 to 1/4 percent and currently anticipates that economic conditions, including low rates of resource utilization, subdued inflation trends, and stable inflation expectations, are likely to warrant exceptionally low levels for the federal funds rate at least through mid-2012. The Committee will continue to monitor the economic outlook and financial developments and will employ its policy tools as necessary to support the economic recovery and to help ensure that inflation, over time, is at levels consistent with its mandate.",A,,,,,,,,,,,,,,,,,,,,,,,
1/26/11,"Information received since the Federal Open Market Committee met in December confirms that the economic recovery is continuing, though at a rate that has been insufficient to bring about a significant improvement in labor market conditions. Growth in household spending picked up late last year, but remains constrained by high unemployment, modest income growth, lower housing wealth, and tight credit. Business spending on equipment and software is rising while investment in nonresidential structures is still weak. Employers remain reluctant to add to payrolls. The housing sector continues to be depressed. Although commodity prices have risen, longer-term inflation expectations have remained stable, and measures of underlying inflation have been trending downward. Consistent with its statutory mandate, the Committee seeks to foster maximum employment and price stability. Currently, the unemployment rate is elevated, and measures of underlying inflation are somewhat low, relative to levels that the Committee judges to be consistent, over the longer run, with its dual mandate. Although the Committee anticipates a gradual return to higher levels of resource utilization in the context of price stability, progress toward its objectives has been disappointingly slow. To promote a stronger pace of economic recovery and to help ensure that inflation, over time, is at levels consistent with its mandate, the Committee decided today to continue expanding its holdings of securities as announced in November. In particular, the Committee is maintaining its existing policy of reinvesting principal payments from its securities holdings and intends to purchase $600 billion of longer-term Treasury securities by the end of the second quarter of 2011, a pace of about $75 billion per month. The Committee continued its practice of regularly reviewing the pace of its securities purchases and the overall size of the asset-purchase program in light of incoming information, and it remains prepared to adjust the program as needed to best foster maximum employment and price stability. The Committee will maintain the target range for the federal funds rate at 0 to 1/4 percent and continues to anticipate that economic conditions, including low rates of resource utilization, subdued inflation trends, and stable inflation expectations, are likely to warrant exceptionally low levels for the federal funds rate for an extended period. The Committee will continue to monitor the economic outlook and financial developments and will employ its policy tools as necessary to support the economic recovery and to help ensure that inflation, over time, is at levels consistent with its mandate.",B,,,,,,,,,,,,,,,,,,,,,,,
1/26/11,"Information received since the Federal Open Market Committee met in December confirms that the economic recovery is continuing, though at a rate that has been insufficient to bring about a significant improvement in labor market conditions. Growth in household spending has picked up and business investment is rising. However, employers remain reluctant to add to payrolls and the housing sector continues to be depressed. Although commodity prices have risen, longer-term inflation expectations have remained stable, and measures of underlying inflation have been trending downward. Consistent with its statutory mandate, the Committee seeks to foster maximum employment and price stability. Currently, the unemployment rate is elevated, and measures of underlying inflation are somewhat low, relative to levels that the Committee judges to be consistent, over the longer run, with its dual mandate. Progress toward the Committee's objectives has been slow, but there are some indications that the economic recovery is strengthening. To promote a stronger pace of economic recovery and to help ensure that inflation, over time, is at levels consistent with its mandate, the Committee decided today to continue expanding its holdings of securities. However, in light of incoming information, the Committee now intends to increase its holdings of securities by a total of $400 billion-$200 billion less than announced in November-by purchasing longer-term Treasury securities at a pace of about $50 billion per month through the second quarter of 2011. The Committee will maintain its existing policy of reinvesting principal payments from its securities holdings. The Committee will regularly review the pace of its securities purchases and the overall size of the asset-purchase program and will adjust the program as needed to best foster maximum employment and price stability. The Committee will maintain the target range for the federal funds rate at 0 to 1/4 percent and continues to anticipate that economic conditions, including low rates of resource utilization, subdued inflation trends, and stable inflation expectations, are likely to warrant exceptionally low levels for the federal funds rate for an extended period. The Committee will continue to monitor the economic outlook and financial developments and will employ its policy tools as necessary to support the economic recovery and to help ensure that inflation, over time, is at levels of 2 percent or a bit less, which the Committee judges to be consistent with its mandate.",C,,,,,,,,,,,,,,,,,,,,,,,
1/26/11,"Information received since the Federal Open Market Committee met in December confirms that the economic recovery is continuing. Growth in household spending has picked up and business investment is rising. Measures of underlying inflation have trended lower in recent quarters and longer-term inflation expectations have remained stable, but commodity prices have risen noticeably. To support the economic recovery and to help ensure that inflation, over time, is at levels consistent with its mandate, the Committee will maintain the target range for the federal funds rate at 0 to 1/4 percent and anticipates that economic conditions are likely to warrant low levels for the federal funds rate for some time. However, the Committee judges that a further expansion of its securities holdings is not necessary to support a gradual return to higher levels of resource utilization in a context of price stability. Accordingly, the Committee decided today to discontinue the asset purchase program it announced in November. For the time being, the Committee will maintain its existing policy of reinvesting principal payments from its securities holdings. The Committee will continue to monitor the economic outlook and financial developments and will employ its policy tools as necessary to promote maximum employment and price stability.",D,,,,,,,,,,,,,,,,,,,,,,,
3/15/11,"Information received since the Federal Open Market Committee met in January confirms that the economic recovery is continuing. Although overall conditions in the labor market appear to be improving gradually, employment remains at low levels. Household spending has been increasing at a solid rate, on net, in recent months, but remains constrained by high unemployment, lower housing wealth, and tight credit. Recent increases in energy costs may be weighing on household spending on non-energy goods and services. Business spending on equipment and software is rising, but investment in nonresidential structures is still weak. The housing sector continues to be depressed. Although energy and other commodity prices have risen significantly since the summer, boosting headline inflation, longer-term inflation expectations have remained stable, and measures of underlying inflation have trended downward. Consistent with its statutory mandate, the Committee seeks to foster maximum employment and price stability. Currently, the unemployment rate is elevated, and measures of underlying inflation are somewhat low, relative to levels that the Committee judges to be consistent, over the longer run, with its dual mandate. Although the Committee anticipates a gradual return to higher levels of resource utilization in a context of price stability, downside risks to the economic outlook remain significant. To promote a stronger pace of economic recovery and to help ensure that inflation, over time, is at levels consistent with its mandate, the Committee decided today to continue expanding its holdings of securities as announced in November. In particular, the Committee is maintaining its existing policy of reinvesting principal payments from its securities holdings and will purchase $600 billion of longer-term Treasury securities by the end of the second quarter of 2011. The Committee is prepared to expand and extend the purchase program if needed to best foster maximum employment and price stability. The Committee will maintain the target range for the federal funds rate at 0 to 1/4 percent and currently anticipates that economic conditions, including low rates of resource utilization, subdued inflation trends, and stable inflation expectations, are likely to warrant exceptionally low levels for the federal funds rate at least through mid-2012. The Committee will continue to monitor the economic outlook and financial developments and will employ its policy tools as necessary to support the economic recovery and to help ensure that inflation, over time, is at levels consistent with its mandate.",A,,,,,,,,,,,,,,,,,,,,,,,
3/15/11,"Information received since the Federal Open Market Committee met in January suggests that the economic recovery is on a somewhat firmer footing, and overall conditions in the labor market appear to be improving gradually. Household spending has been increasing at a solid rate, on net, in recent months, and business spending on equipment and software has been expanding. However, investment in nonresidential structures is still weak, and the housing sector continues to be depressed. Commodity prices have risen significantly since the summer, and concerns about global supplies of crude oil have contributed to a sharp run-up in oil prices in recent weeks. Nonetheless, longer-term inflation expectations have remained stable, and measures of underlying inflation have been subdued. Consistent with its statutory mandate, the Committee seeks to foster maximum employment and price stability. Currently, the unemployment rate remains elevated, and measures of underlying inflation continue to be somewhat low, relative to levels that the Committee judges to be consistent, over the longer run, with its dual mandate. The recent increases in the prices of energy and other commodities are temporarily putting upward pressure on headline inflation, but the Committee expects limited passthrough to underlying inflation and continues to anticipates a gradual return to higher levels of resource utilization in a context of price stability. To promote a stronger pace of economic recovery and to help ensure that inflation, over time, is at levels consistent with its mandate, the Committee decided today to continue expanding its holdings of securities as announced in November. In particular, the Committee is maintaining its existing policy of reinvesting principal payments from its securities holdings and intends to purchase $600 billion of longer-term Treasury securities by the end of the second quarter of 2011, a pace of about $80 billion a month. The Committee will regularly review the pace of its securities purchases and the overall size of the asset-purchase program in light of incoming information and will adjust the program as needed to best foster maximum employment and price stability. The Committee will maintain the target range for the federal funds rate at 0 to 1/4 percent and continues to anticipate that economic conditions, including low rates of resource utilization, subdued inflation trends, and stable inflation expectations, are likely to warrant exceptionally low levels for the federal funds rate for an extended period. The Committee will continue to monitor the economic outlook and financial developments and will employ its policy tools as necessary to support the economic recovery and to help ensure that inflation, over time, is at levels consistent with its mandate.",B,,,,,,,,,,,,,,,,,,,,,,,
3/15/11,"Information received since the Federal Open Market Committee met in January confirms that the economic recovery is strengthening and conditions in the labor market are improving. Household spending has been increasing at a solid rate, on net, and business investment has been expanding. However, the housing sector continues to be depressed. Commodity prices have risen significantly since the summer, and concerns about global supplies of crude oil have contributed to a sharp run-up in oil prices in recent weeks. Nonetheless, longer-term inflation expectations have remained stable, and measures of underlying inflation have been subdued. Consistent with its statutory mandate, the Committee seeks to foster maximum employment and price stability. Currently, the unemployment rate remains elevated, and measures of underlying inflation continue to be somewhat low, relative to levels that the Committee judges to be consistent, over the longer run, with its dual mandate. The recent increases in the prices of energy and other commodities are temporarily putting upward pressure on headline inflation, but the Committee expects limited passthrough to underlying inflation and continues to anticipates a gradual return to higher levels of resource utilization in a context of price stability. To support the economic recovery and to help ensure that inflation, over time, is at levels consistent with its mandate, the Committee decided today to continue expanding its holdings of securities. However, in light of incoming economic information, the Committee will gradually reduce the pace of its purchases of longer-term Treasury securities with the intention of limiting the increase in its holdings to a total of $450 billion by the end of the second quarter of 2011-$150 billion less than announced in November. For the time being, the Committee is maintaining its existing policy of reinvesting principal payments from its securities holdings. The Committee will continue to review the pace of its securities purchases and the overall size of the asset-purchase program and will adjust the program as needed to best foster maximum employment and price stability. The Committee will maintain the target range for the federal funds rate at 0 to 1/4 percent and continues to anticipate that economic conditions, including low rates of resource utilization, subdued inflation trends, and stable inflation expectations, are likely to warrant low levels for the federal funds rate for some time. The Committee will continue to monitor the economic outlook and financial developments, and will employ its policy tools as necessary to support the economic recovery and to ensure that inflation, over time, is at levels consistent with its mandate.",C,,,,,,,,,,,,,,,,,,,,,,,
4/27/11,"Information received since the Federal Open Market Committee met in March suggests that the economic recovery is proceeding at a moderate pace, albeit somewhat more slowly than had been anticipated, and that overall conditions in the labor market are improving only gradually. Household spending and business investment in equipment and software continue to expand, but increased energy costs may be weighing on consumer purchases of non-energy goods and services. Investment in nonresidential structures is still weak, and the housing sector continues to be depressed. Commodity prices have risen significantly since last summer, and concerns about global supplies of crude oil have contributed to a further increase in oil prices since the Committee met in March. While inflation has picked up in recent months, longer-term inflation expectations have remained stable and measures of underlying inflation are still subdued. Consistent with its statutory mandate, the Committee seeks to foster maximum employment and price stability. The unemployment rate remains elevated, and measures of underlying inflation continue to be somewhat low, relative to levels that the Committee judges to be consistent, over the longer run, with its dual mandate. Increases in the prices of energy and other commodities are putting upward pressure on inflation. The Committee expects these effects to be transitory, but it will pay close attention to the evolution of inflation and inflation expectations. Although the Committee continues to anticipate a gradual return to higher levels of resource utilization in a context of price stability, recent developments have increased the downside risks to the outlook for economic growth. To promote a stronger pace of economic recovery and to help ensure that inflation, over time, is at levels consistent with its mandate, the Committee decided today to continue expanding its holdings of securities as announced in November. In particular, the Committee is maintaining its existing policy of reinvesting principal payments from its securities holdings and will complete purchases of $600 billion of longer-term Treasury securities by the end of the current quarter. The Committee is prepared to expand and extend the purchase program as if needed to best foster maximum employment and price stability. The Committee will maintain the target range for the federal funds rate at 0 to 1/4 percent and currently anticipates that economic conditions, including low rates of resource utilization, subdued inflation trends, and stable inflation expectations, are likely to warrant exceptionally low levels for the federal funds rate at least through mid-2012. The Committee will continue to monitor the economic outlook and financial developments and will employ its policy tools as necessary to support the economic recovery and to help ensure that inflation, over time, is at levels consistent with its mandate.",A,,,,,,,,,,,,,,,,,,,,,,,
4/27/11,"Information received since the Federal Open Market Committee met in March indicates that the economic recovery is proceeding at a moderate pace and overall conditions in the labor market are improving gradually. Household spending and business investment in equipment and software continue to expand. However, investment in nonresidential structures is still weak, and the housing sector continues to be depressed. Commodity prices have risen significantly since last summer, and concerns about global supplies of crude oil have contributed to a further increase in oil prices since the Committee met in March. Inflation has picked up in recent months, but longer-term inflation expectations have remained generally stable and measures of underlying inflation are still subdued. Consistent with its statutory mandate, the Committee seeks to foster maximum employment and price stability. The unemployment rate remains elevated, and measures of underlying inflation continue to be somewhat low, relative to levels that the Committee judges to be consistent, over the longer run, with its dual mandate. Increases in the prices of energy and other commodities are putting upward pressure on inflation. The Committee expects these effects to be transitory, but it will pay close attention to the evolution of inflation and inflation expectations. The Committee continues to anticipate a gradual return to higher levels of resource utilization in a context of price stability. To promote a stronger pace of economic recovery and to help ensure that inflation, over time, is at levels consistent with its mandate, the Committee decided today to continue expanding its holdings of securities as announced in November. In particular, the Committee is maintaining its existing policy of reinvesting principal payments from its securities holdings and will complete purchases of $600 billion of longer-term Treasury securities by the end of the current quarter. The Committee will regularly review the size and composition of its securities holdings in light of incoming information and is prepared to adjust those holdings as needed to best foster maximum employment and price stability. The Committee will maintain the target range for the federal funds rate at 0 to 1/4 percent and continues to anticipate that economic conditions, including low rates of resource utilization, subdued inflation trends, and stable inflation expectations, are likely to warrant exceptionally low levels for the federal funds rate for an extended period. The Committee will continue to monitor the economic outlook and financial developments and will employ its policy tools as necessary to support the economic recovery and to help ensure that inflation, over time, is at levels consistent with its mandate.",B,,,,,,,,,,,,,,,,,,,,,,,
4/27/11,"Information received since the Federal Open Market Committee met in March indicates that the economic recovery is on a firmer footing and overall conditions in the labor market are improving. Household spending and business investment in equipment and software continue to expand. Commodity prices have risen significantly since the summer, and concerns about global supplies of crude oil have contributed to a further increase in oil prices since the Committee met in March. Inflation has picked up in recent months, but longer-term inflation expectations have remained generally stable and measures of underlying inflation are still subdued. Consistent with its statutory mandate, the Committee seeks to foster maximum employment and price stability. The unemployment rate and measures of underlying inflation have moved somewhat closer to levels that the Committee judges to be consistent, over the longer run, with its dual mandate. However, increases in the prices of energy and other commodities are boosting overall inflation. The Committee expects these effects to be transitory so long as longer-term inflation expectations remain stable, and it will pay close attention to the evolution of inflation and inflation expectations. The Committee continues to anticipate a gradual return to higher levels of resource utilization in a context of price stability. In light of incoming information, the Committee judges that the increase in its holdings of longer-term securities since November is sufficient to promote appropriate progress toward maximum employment and price stability. Accordingly, the Committee decided today to complete only $450 billion of the intended $600 billion increase in its holdings of securities as announced in November. For now, the Committee is maintaining its existing policy of reinvesting principal payments from its securities holdings. The Committee will regularly review its reinvestment policy and the level of its securities holdings in light of incoming information and will adjust the program make adjustments as needed to best foster maximum employment and price stability. The Committee will maintain the target range for the federal funds rate at 0 to 1/4 percent and anticipates that economic conditions, including low rates of resource utilization, subdued inflation trends, and stable inflation expectations, are likely to warrant exceptionally low levels for the federal funds rate for some time. The Committee will continue to monitor the economic outlook and financial developments and will employ its policy tools as necessary to support the economic recovery and to help ensure that inflation, over time, is at levels consistent with its mandate.",C,,,,,,,,,,,,,,,,,,,,,,,
